"Polling_firm","PollDate","LPC","CPC","NDP","BQ","GPC","SampleSize","LPC_moe","CPC_moe","NDP_moe","BQ_moe","GPC_moe","NumDays","pollster_id"
"Abacus Data",2018-12-18,0.35,0.34,0.17,0.04,0.07,2000,0.0106653645038508,0.0105924501414923,0.00839940474081348,0.00438178046004133,0.00570526073023837,1157,1
"Nanos Research",2018-12-14,0.36,0.339,0.166,0.034,0.066,1000,0.0151789327688082,0.0149692685192029,0.0117662228433767,0.00573096850453743,0.00785136930732468,1153,13
"Campaign Research",2018-12-13,0.33,0.35,0.16,0.04,0.08,1494,0.0121651949376689,0.0123400068778607,0.00948471609261077,0.00506979400419582,0.00701881197588867,1152,3
"Ipsos",2018-12-12,0.38,0.33,0.18,0.04,NA,2001,0.0108508584653604,0.0105116484256128,0.00858854576984833,0.00438068542554715,NA,1151,10
"Nanos Research",2018-12-07,0.341,0.348,0.158,0.031,0.082,1000,0.0149906304070243,0.0150630674166984,0.0115341232870123,0.00548078461536302,0.00867617427210865,1146,13
"Nanos Research",2018-11-30,0.379,0.322,0.143,0.03,0.076,1000,0.0153414145371279,0.0147755202954075,0.0110702755159933,0.00539444158370447,0.00837997613361757,1139,13
"Forum Research",2018-11-29,0.34,0.43,0.11,0.04,0.06,1541,0.0120672999237488,0.0126116043099442,0.00797058186150183,0.00499188179363867,0.00604976120540637,1138,7
"Nanos Research",2018-11-23,0.396,0.315,0.145,0.024,0.069,1000,0.0154655746740947,0.0146892818068141,0.0111344061359374,0.00483983470792134,0.00801492358042171,1132,13
"Leger",2018-11-20,0.39,0.33,0.14,0.04,0.05,1521,0.0125064086135971,0.0120567363543679,0.00889710337071665,0.00502459434417062,0.0055883319788983,1129,11
"Nanos Research",2018-11-16,0.394,0.287,0.172,0.025,0.073,1000,0.0154519901630826,0.0143049292203771,0.0119338174948337,0.00493710441453287,0.0082262385085773,1125,13
"Innovative Research",2018-11-15,0.38,0.32,0.14,0.04,0.08,2490,0.00972720277857835,0.00934823824220006,0.00695366188814343,0.00392704554939053,0.0054367483785556,1124,8
"Abacus Data",2018-11-13,0.38,0.31,0.16,0.04,0.09,1500,0.0125326240934078,0.0119415241908225,0.00946572765295938,0.00505964425626941,0.00738918128076447,1122,1
"Campaign Research",2018-11-09,0.35,0.35,0.17,0.04,0.07,2512,0.00951657956537977,0.00951657956537977,0.00749469026482116,0.00390981127470645,0.00509073718586428,1118,3
"Nanos Research",2018-11-09,0.394,0.275,0.198,0.02,0.061,1000,0.0154519901630826,0.0141200212464429,0.012601428490453,0.00442718872423573,0.00756828910652864,1118,13
"Mainstreet Research",2018-11-07,0.393,0.346,0.108,0.034,0.068,7961,0.00547402540654394,0.00533142263642877,0.00347864806176854,0.00203116034823848,0.00282149055351955,1116,12
"Nanos Research",2018-11-02,0.396,0.281,0.193,0.019,0.069,1000,0.0154655746740947,0.014214042352547,0.0124800240384384,0.00431729081716764,0.00801492358042171,1111,13
"Nanos Research",2018-10-26,0.394,0.282,0.193,0.028,0.065,1000,0.0154519901630826,0.0142294061717276,0.0124800240384384,0.0052168956286282,0.00779583221984671,1104,13
"Nanos Research",2018-10-19,0.395,0.294,0.169,0.036,0.07,1000,0.0154588162548107,0.0144070815920505,0.0118506961820815,0.00589101010014412,0.00806845710157772,1097,13
"Nanos Research",2018-10-12,0.371,0.314,0.161,0.037,0.072,1000,0.0152760924322943,0.0146766481186952,0.0116223491601311,0.00596917079668525,0.00817410545564467,1090,13
"Forum Research",2018-10-10,0.32,0.41,0.15,0.04,0.07,1226,0.0133224534185608,0.0140466479894311,0.0101978790617098,0.00559654985772047,0.00728694110059831,1088,7
"Ipsos",2018-10-09,0.36,0.35,0.2,0.04,NA,2001,0.0107304440162375,0.0106626991621863,0.00894203668019792,0.00438068542554715,NA,1087,10
"Nanos Research",2018-10-05,0.373,0.311,0.162,0.038,0.067,1000,0.0152928414625929,0.0146382717559144,0.0116514376795312,0.00604615580348373,0.00790638982089803,1083,13
"Innovative Research",2018-10-01,0.38,0.31,0.15,0.05,0.07,2410,0.00988733210221974,0.00942099711930705,0.00727355238623829,0.00443954317114551,0.00519735010681213,1079,8
"Nanos Research",2018-09-28,0.38,0.317,0.167,0.026,0.06,1000,0.0153492670834799,0.0147143127600306,0.01179453263169,0.00503229569878401,0.00750999334220743,1076,13
"Nanos Research",2018-09-21,0.39,0.312,0.17,0.024,0.055,1000,0.0154240072614091,0.0146511433000978,0.0118785521003193,0.00483983470792134,0.00720936890441875,1069,13
"Pollara",2018-09-20,0.4,0.34,0.12,0.03,0.07,1002,0.0154764646506827,0.0149650290948058,0.0102659252655027,0.0053890552203206,0.00806040072702589,1068,14
"Abacus Data",2018-09-19,0.38,0.34,0.17,0.03,0.07,2000,0.0108535708409721,0.0105924501414923,0.00839940474081348,0.00381444622455213,0.00570526073023837,1067,1
"DART/Maru",2018-09-19,0.3,0.38,0.17,0.05,0.08,5769,0.00603336192004444,0.00639053729290496,0.00494553451770382,0.00286943595151391,0.00357181237568258,1067,4
"Campaign Research",2018-09-14,0.36,0.38,0.15,0.05,0.07,1486,0.0124517912898388,0.0125915222820037,0.00926287253161848,0.00565376040609037,0.00661882791037305,1062,3
"Nanos Research",2018-09-14,0.411,0.314,0.149,0.02,0.058,1000,0.0155588881350821,0.0146766481186952,0.0112605062053178,0.00442718872423573,0.00739161687318817,1062,13
"Nanos Research",2018-09-07,0.399,0.328,0.149,0.025,0.065,1000,0.0154854447788883,0.0148464137083674,0.0112605062053178,0.00493710441453287,0.00779583221984671,1055,13
"Nanos Research",2018-08-31,0.399,0.324,0.158,0.034,0.067,1000,0.0154854447788883,0.014799459449588,0.0115341232870123,0.00573096850453743,0.00790638982089803,1048,13
"Abacus Data",2018-08-25,0.37,0.34,0.18,0.03,0.06,1000,0.0152676127799994,0.0149799866488592,0.01214907403879,0.00539444158370447,0.00750999334220743,1042,1
"Nanos Research",2018-08-24,0.388,0.344,0.165,0.029,0.063,1000,0.0154096073927923,0.0150221170279026,0.0117377595817941,0.00530650544143695,0.0076831634109916,1041,13
"Abacus Data",2018-08-20,0.37,0.33,0.18,0.03,0.08,1500,0.0124659536337979,0.012140840168621,0.0099196774141098,0.00440454310910905,0.00700476028616731,1037,1
"Nanos Research",2018-08-17,0.375,0.339,0.19,0.032,0.057,1000,0.0153093108923949,0.0149692685192029,0.0124056438768812,0.00556560868189635,0.00733150734842433,1034,13
